gold_id,old_category_code,new_category_code,leaf,source,item_text,description,provider,disposition,authority,audit_reason
SA-00509,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,Confeccin de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00511,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,CARGA DE BOLOS PELLECO,Carga de bolos con frontal sector pelleco con petroleo incluido 72 bolos,SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00512,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,TRASLADO BOLOS,Traslado bolos camion y carro con petroleo incluido,SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00513,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,DESCARGA BOLOS YUTRECO,Desgarga bolos con tractor sector yutreco con petroleo incluido,SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00514,EXP-4.1,EXP-4.1,Parva Silo,file_audit,SILO PARVA BRAMADERO,,AGRO SERVICIOS NAVARRETE SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00515,EXP-4.1,EXP-4.1,Parva Silo,file_audit,PLASTICO SILO 14 M 26 M 150 MIC,PLASTICO SILO 14 M 26 M 150 MIC,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00517,EXP-4.3,EXP-4.2,Bolos Silo,file_audit,BOLOS SILO CHAPILCAHUIN,20 bolos silo empastadas arriendo,SERVICIOS AGRICOLAS CORPAL SPA,correct,manual_taxonomy_resolution,"The row explicitly says silage bales, so the more specific Bolos Silo category overrides the hay folder."
SA-00518,EXP-4.3,EXP-4.3,Bolos Heno,file_audit,BOLOS PASTO SECO PELLECO,392 bolos pasto seco,SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00519,EXP-4.3,EXP-4.3,Bolos Heno,file_audit,BOLOS PASTO SECO RAICES,BOLOS RAICES ARRIENDO 225,SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00520,EXP-4.3,EXP-6.3,Cal,file_audit,Aplicacin de cal,,HECTOR ADRIAN VALENZUELA PAREDES,correct,manual_taxonomy_resolution,The item explicitly says lime application; the client taxonomy places lime product and application in EXP-6.3.
SA-00521,EXP-4.3,EXP-4.3,Bolos Heno,file_audit,Bolos de heno,,HECTOR ADRIAN VALENZUELA PAREDES,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00522,EXP-4.3,EXP-4.3,Bolos Heno,file_audit,Bolos de heno con nailo,,HECTOR ADRIAN VALENZUELA PAREDES,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00524,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Implementos para Inseminacion Gloves AI ABS Red,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00525,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Leche Convencional STAMINA,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00526,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Leche Convencional CENTURION,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00527,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Leche Convencional MEKE,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00528,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Implementos para Inseminacion TOALLANOVA,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00529,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Implementos para Inseminacion Sheath Blue IW IMV,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00530,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Carne Convencional SHRIMPTONS HILL,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00531,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Nitrogeno liquido,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00532,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Leche Convencional COMMANDO,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00533,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Semen Bovino Leche Convencional PYRAMID,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00534,EXP-3.1,EXP-3.1,Inseminacion Artificial,file_audit,Implementos para Inseminacion VASELINAX1LITRO,,ABS CHILE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00535,EXP-9.1,EXP-9.1,Energia Electrica Riego,file_audit,Energia Electrica Riego - COOPERATIVA ELECTRICA PAILLACO LTDA,,COOPERATIVA ELECTRICA PAILLACO LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00536,EXP-9.1,EXP-9.1,Energia Electrica Riego,file_audit,Energia Electrica Riego - NTILLANCA S.A.,,NTILLANCA S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00537,EXP-9.1,EXP-9.1,Energia Electrica Riego,file_audit,Energia Electrica Riego - COOPERATIVA RURAL ELECTRICA RIO BUENO LTDA,,COOPERATIVA RURAL ELECTRICA RIO BUENO LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00538,EXP-9.2,EXP-9.2,Otros Gastos Riego,file_audit,K-L COPLA 40 MM,,NOTA DE CREDITO COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00539,EXP-9.2,EXP-9.2,Otros Gastos Riego,file_audit,K-L TUBO ALZADOR 40 MM X 800 MM,,FACTURA ELECTRONICA COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00540,EXP-9.2,EXP-9.2,Otros Gastos Riego,file_audit,K-L UNION AMERICANA 40 MM,,FACTURA ELECTRONICA COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00541,EXP-9.2,EXP-9.2,Otros Gastos Riego,file_audit,K-L TOW CAP 40 MM,,FACTURA ELECTRONICA COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00542,EXP-9.2,EXP-9.2,Otros Gastos Riego,file_audit,K-L COPLA 40 MM TERMINAL HE,,FACTURA ELECTRONICA COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00543,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,TRAJE SEAWOLF TECH 340GR T/S NARANJO,,MANUFACTURA DE TELAS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00544,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,TRAJE SEAWOLF 340 TECH T/M NARANJO,,MANUFACTURA DE TELAS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00545,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,TRAJE SEAWOLF 340 TECH T/L NARANJO,,MANUFACTURA DE TELAS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00546,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,TRAJE SEAWOLF TECH 340GR T/XL NARANJO,,MANUFACTURA DE TELAS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00547,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,TRAJE SEAWOLF 340 TECH T/XXL NARANJO,,MANUFACTURA DE TELAS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00548,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,FILTRO 3M 60923 MIXTO VAP-ORG- GAS-ACID,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00549,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,RESPIRADOR 3M 6200 MEDIO ROSTRO T/M,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00550,EXP-16.1,EXP-13.1,Mantencion Maquinaria,file_audit,A. GADUS S2 V220 2 X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,correct,client_product_family_resolution,Client product rule for the same Gadus grease family overrides the work-clothing folder.
SA-00551,EXP-16.1,EXP-8.1,Pradera Perenne,file_audit,SEMILLA BALLICA NUI IMPORT X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,correct,manual_taxonomy_resolution,NUI is perennial ryegrass seed; it cannot be work clothing or tools.
SA-00553,EXP-16.1,EXP-8.1,Pradera Perenne,file_audit,SEMILLA BALLICA NUI IMPORT X 25 KG,SEMILLA BALLICA NUI IMPORT,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,manual_taxonomy_resolution,NUI is perennial ryegrass seed; it cannot be work clothing or tools.
SA-00554,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,BOTIN NORSEG NS586 PRO CAF 38,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00555,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,BOTIN NORSEG NS586 PRO CAF 40,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00556,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,BOTIN NORSEG NS586 PRO CAF 41,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00557,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,BOTIN NORSEG NS586 PRO CAF 42,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00558,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,GUANTE CABRITILLA SIN FORRO TIPO A,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00559,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,Guante Ordea Nitrilo Soflo Bio Largo Talla L (Caja 100u),,SOCIEDAD COMERCIAL SOFLO SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00560,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,Guante Ordea Nitrilo Soflo Bio Largo Talla XL (Caja 100u),,SOCIEDAD COMERCIAL SOFLO SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00561,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,ANTIPARRA K-2 STELLPRO CLARA,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00562,EXP-16.2,EXP-16.2,Otros Gastos Campo,file_audit,RET.RESID.PAILLACO,SERVICIO REALIZADO EL 26 DE AGOSTO 2025.,SELLO DE RECICLAJE MI GRAN CHILE SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00563,EXP-16.2,EXP-16.2,Otros Gastos Campo,file_audit,Transporte de plstico agrcola para reciclaje,"Fundo Yutreco, Rup 10.3.01.0282",GESTIN AMBIENTAL ECOGEST SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00564,EXP-16.2,EXP-16.2,Otros Gastos Campo,file_audit,RESIDUOS FUNDO RAICES,SERVICIO REALIZADO EL 4 DE JULIO 2025.,SELLO DE RECICLAJE MI GRAN CHILE SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00565,EXP-16.2,EXP-16.2,Otros Gastos Campo,file_audit,Disposicin Residuos Biopeligrosos,Frascos vacos medicamentos Report 8132 04-02-2026 kilos extras (55),GESTIN AMBIENTAL ECOGEST SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00566,EXP-16.2,EXP-16.2,Otros Gastos Campo,file_audit,RESIDUOS FUNDO YUTRECO,SERVICIO REALIZADO EL 12 DE JUNIO 2025.,SELLO DE RECICLAJE MI GRAN CHILE SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00567,EXP-14.1,EXP-14.1,Mantencion Caminos,file_audit,Estabilizado Bajo 2,Reportes relacionados -20837 - 20840. Patente TTGC-74. Pelleco,ANA MARIA VERGARA URIBE,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00568,EXP-14.1,EXP-14.1,Mantencion Caminos,file_audit,Mantencion Caminos - TRANSPORTES PINILLA SPA,,TRANSPORTES PINILLA SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00569,EXP-14.1,EXP-14.1,Mantencion Caminos,file_audit,Mantencion Caminos - PROMAQ SERVICIOS SPA,,PROMAQ SERVICIOS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00570,EXP-14.1,EXP-14.1,Mantencion Caminos,file_audit,Mantencion Caminos - FACTURA ELECTRÓNICA GEO PARTNER SPA,,FACTURA ELECTRÓNICA GEO PARTNER SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00571,EXP-14.1,EXP-15.4,Arriendo Maquinaria y Vehiculos,file_audit,ARRIENDO CAMION,44 VUELTAS x $20.000.-,JUAN ALBERTO MIRANDA REYES,correct,manual_taxonomy_resolution,"The item explicitly says truck rental; machinery/vehicle rental is EXP-15.4, not road maintenance."
SA-00572,EXP-14.1,EXP-15.4,Arriendo Maquinaria y Vehiculos,file_audit,ARRIENDO EXCAVADORA,"3,9 HRS. x $50.000.-",JUAN ALBERTO MIRANDA REYES,correct,manual_taxonomy_resolution,"The item explicitly says excavator rental; machinery/vehicle rental is EXP-15.4, not road maintenance."
SA-00573,EXP-14.1,EXP-15.4,Arriendo Maquinaria y Vehiculos,file_audit,ARRIENDO MAQUINARIA,EXCAVADORA CHAPILCAHUIN,GEO PARTNER SPA,correct,manual_taxonomy_resolution,"The item explicitly says machinery rental; machinery/vehicle rental is EXP-15.4, not road maintenance."
SA-00574,EXP-14.2,EXP-14.2,Mantencion Cercos,file_audit,"AISLADOR ""W"" 2 CLAVOS S10291B",,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00575,EXP-14.2,EXP-14.2,Mantencion Cercos,file_audit,CLAVOS 4 X 8 X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00576,EXP-14.2,EXP-14.2,Mantencion Cercos,file_audit,CORDON BUNGY ROLLO,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00577,EXP-14.2,EXP-14.2,Mantencion Cercos,file_audit,CLAVOS 2 1/2 X 11 X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00578,EXP-14.2,EXP-13.1,Mantencion Maquinaria,file_audit,A. SPIRAX S4 TXM JC X 20 L (968314),A. SPIRAX S4 TXM X 20 L (958708),COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,Client product rule for the same Spirax transmission-oil family overrides the fencing folder.
SA-00579,EXP-14.2,EXP-14.2,Mantencion Cercos,file_audit,AISLADOR W NEGRO X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00580,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,Mantencion Instalaciones - K VIMAR SPA,,K VIMAR SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00581,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,Mantencion Instalaciones - A&C ELECTRICIDAD LIMITADA,,A&C ELECTRICIDAD LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00582,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,REPARACIN BAO,CASA BRAMADERO,SERVICIOS DE MANTENCIN DOMICILIARIA NONTUELA SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00583,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,Mantencion Instalaciones - ANTILLANCA SPA,,ANTILLANCA SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00584,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,ESM.AGUA SATIN BLANCO 1X5GL,,PINTURAS BARENDS SpA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00585,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,RODILLO CHIPORRO NATURAL HELA 18CM,,PINTURAS BARENDS SpA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00586,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,"BROCHAS CERDA NATURAL 3""",,PINTURAS BARENDS SpA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00587,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,SELLADOR ACRILICO 300ML,,PINTURAS BARENDS SpA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00588,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,ESM.AGUA SATIN BLANCO 1GL,,PINTURAS BARENDS SpA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00589,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,COLOR PREP. FLEXCRYL S/MUESTRA 1GL,,PINTURAS BARENDS SpA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00590,EXP-14.4,,,file_audit,NEGRO,,PINTURAS BARENDS SpA,quarantine,locked_399_row_manual_review,Generic colour-only line cannot support a category label.
SA-00591,EXP-14.4,,,file_audit,INSTALACION DE LAVADORA,EN SALA DE ORDEA,SERVICIOS DE MANTENCIN DOMICILIARIA NONTUELA SPA,quarantine,locked_399_row_manual_review,Conflicting prior audits (EXP-10.1 versus EXP-14.4); needs client resolution.
SA-00592,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,INSTALACIN DE,FOSA SPTICA Y CMARA EN LECHERA.,SERVICIOS DE MANTENCIN DOMICILIARIA NONTUELA SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00593,EXP-14.4,EXP-14.4,Mantencion Instalaciones,file_audit,Trabajos elctricos fundo,Maitn,ALBERTO JESUS LARA GUZMAN,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00594,EXP-14.3,EXP-14.3,Mantencion Agua y Purines,file_audit,"CAERIA NEGRA PN4 2""","CAERIA NEGRA PN4 2""",COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00595,EXP-14.3,EXP-14.3,Mantencion Agua y Purines,file_audit,"CAERIA NEGRA PN4 3/4""","CAERIA NEGRA PN4 3/4""",COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00597,EXP-7.0,EXP-7.0,AGROQUIMICOS,file_audit,TORDON 101 X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00598,EXP-7.0,EXP-7.0,AGROQUIMICOS,file_audit,STARANE XTRA X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00599,EXP-7.0,EXP-7.0,AGROQUIMICOS,file_audit,RANGO FULL X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00600,EXP-13.2,EXP-13.2,Mantencion Motos,file_audit,REPARACION MOTO HONDA,"TRX 420, SEGUN OT 1047",MULTIMOTOS OSORNO SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00601,EXP-13.2,EXP-13.2,Mantencion Motos,file_audit,MANTENCION MOTO HONDA,"TRX 250, SEGUN OT 1053",MULTIMOTOS OSORNO SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00602,EXP-13.2,EXP-13.2,Mantencion Motos,file_audit,MANTENCION Y REPARACION,"MOTO HONDA TRX 420, SEGUN OT 1049",MULTIMOTOS OSORNO SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00603,EXP-13.3,EXP-13.3,Mantencion Vehiculos,file_audit,NEUM.265/70 R17 FALKEN -____,____,FEROSOR AGRICOLA S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00604,EXP-13.3,EXP-13.3,Mantencion Vehiculos,file_audit,Reparar tapa trasera,Camioneta Maxus,SERVIMEC SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00605,EXP-13.3,EXP-13.3,Mantencion Vehiculos,file_audit,S-MD40 CUARTA MANTENCION,A@S-MD40 CUARTA MANTENCION,DIFOR CHILE S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
