audit_id,category_code,leaf,raw_row_id,source,period,source_file,folio,nro_lin_det,item_text,description,provider,candidate_basis,verdict,audit_reason,promoted_gold_id
WA-089,EXP-15.2,Servicios Veterinarios,5889,COMPRAS,2025-08,DTE_033_000000010479_776282901.xml,10479,10,Test Turbidez 86820,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-090,EXP-15.2,Servicios Veterinarios,5934,COMPRAS,2025-08,DTE_033_000000035046_887346003.xml,35046,1,PROPILENGLICOL 5 LTS,,SERVIGEN LTDA,provider_giro_keyword_false_positive,reject,"Physical product/medicine from a veterinary provider, not veterinary consultancy.",
WA-091,EXP-15.2,Servicios Veterinarios,6014,COMPRAS,2025-08,DTE_033_000000288674_760681407.xml,288674,1,"HILOS X METRO G-2 NC 1/2"" 13 HILOS",,FERIA REMEHUE LTDA.,provider_giro_keyword_false_positive,reject,Hardware matched only because the seller's broad giro mentions veterinary sales.,
WA-092,EXP-15.2,Servicios Veterinarios,6017,COMPRAS,2025-08,DTE_033_000000288674_760681407.xml,288674,4,BROCA KOCH 2000 13MM CIL. HSS HELA,,FERIA REMEHUE LTDA.,provider_giro_keyword_false_positive,reject,Hardware matched only because the seller's broad giro mentions veterinary sales.,
WA-093,ADM-2.2,Seguros Trabajadores,6127,COMPRAS,2025-08,DTE_033_000000657568_990120005.xml,657568,2,Periodo de Cobertura agosto 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-06127
WA-094,EXP-15.2,Servicios Veterinarios,6281,COMPRAS,2025-08,DTE_033_000005094105_889098007.xml,5094105,1,CALFODEX 500 ML,,COVEPA SpA,provider_giro_keyword_false_positive,reject,"Physical product/medicine from a veterinary provider, not veterinary consultancy.",
WA-095,ADM-1.5,Colacion y Alojamiento,6760,COMPRAS,2025-09,DTE_033_000000002631_769509062.xml,2631,1,ALOJAMIENTO,,THAMYKI SPA,explicit_lodging,promote,Item explicitly identifies hotel lodging or a lodging ancillary charge.,MA-06760
WA-096,ADM-1.3,Arriendo Oficina,6767,COMPRAS,2025-09,DTE_033_000000004764_764503287.xml,4764,1,Arriendo Septiembre 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-06767
WA-097,EXP-15.2,Servicios Veterinarios,7175,COMPRAS,2025-09,DTE_033_000005096654_889098007.xml,5096654,1,AGUJA HIPOD. DESECHABLE 21 G X 1,,COVEPA SpA,provider_giro_keyword_false_positive,reject,"Disposable needle is an animal-health supply, not veterinary consultancy.",
WA-098,ADM-1.4,Movilizacion,7197,COMPRAS,2025-09,DTE_033_000028474250_995200007.xml,28474250,3,DETALLE,GASOLINA NU 1203| 31.646|L,COPEC S.A.,explicit_gasoline_description,promote,Description explicitly identifies gasoline and litres; client examples place administration gasoline in mobilization.,MA-07197
WA-099,EXP-6.3,Cal,7328,COMPRAS,2025-09,DTE_033_000029159625_810941006.xml,29159625,3,CAL IM MINERALS FUNDO,CAL AGRICOLA,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,explicit_agricultural_lime,promote,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,MA-07328
WA-100,ADM-1.5,Colacion y Alojamiento,7587,COMPRAS,2025-10,DTE_033_000000000230_775442719.xml,230,1,Almuerzo,,LAS ACHIRAS SPA,explicit_meal,promote,Item explicitly identifies an administration meal.,MA-07587
WA-101,EXP-6.3,Cal,7600,COMPRAS,2025-10,DTE_033_000000000399_770531012.xml,399,1,FUNDO CHAPICAHUIN,APLICACION CAL 242 TON,SERVICIOS AGRICOLAS CORPAL SPA,explicit_agricultural_lime,promote,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,MA-07600
WA-102,EXP-6.3,Cal,7601,COMPRAS,2025-10,DTE_033_000000000399_770531012.xml,399,2,FUNDO RAICES,APLICACION CAL 42 TON,SERVICIOS AGRICOLAS CORPAL SPA,explicit_agricultural_lime,promote,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,MA-07601
WA-103,EXP-6.3,Cal,7604,COMPRAS,2025-10,DTE_033_000000000401_770531012.xml,401,1,FUNDO CHAPICAHUIN,APLICACION CAL 218 TON,SERVICIOS AGRICOLAS CORPAL SPA,explicit_agricultural_lime,promote,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,MA-07604
WA-104,EXP-6.3,Cal,7609,COMPRAS,2025-10,DTE_033_000000000414_770531012.xml,414,1,APLICACION CAL EN PRADERA,APLICACION DE CAL EN PRADERA PELLECO Y CHAPILCAHUIN TOTAL 64 TON,SERVICIOS AGRICOLAS CORPAL SPA,explicit_agricultural_lime,promote,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,MA-07609
WA-105,ADM-1.2,Comunicaciones e Internet,7666,COMPRAS,2025-10,DTE_033_000000003742_766721397.xml,3742,1,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE OCTUBRE DE 2025",NETSKY SPA,explicit_internet_service,promote,Item explicitly says internet service and includes the recurring billing month.,MA-07666
WA-106,ADM-1.3,Arriendo Oficina,7672,COMPRAS,2025-10,DTE_033_000000004892_764503287.xml,4892,1,Arriendo Octubre 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,already_gold,October 2025 ADDVISE rent is already represented by a client-confirmed gold row.,
WA-107,EXP-15.2,Servicios Veterinarios,7680,COMPRAS,2025-10,DTE_033_000000010676_776282901.xml,10676,1,BRUC(RB) 87534,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-108,EXP-15.2,Servicios Veterinarios,7681,COMPRAS,2025-10,DTE_033_000000010676_776282901.xml,10676,2,LEUC ELISA IND 87534,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-109,EXP-15.2,Servicios Veterinarios,7682,COMPRAS,2025-10,DTE_033_000000010676_776282901.xml,10676,3,PTBC 87534,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-110,ADM-1.5,Colacion y Alojamiento,7803,COMPRAS,2025-10,DTE_033_000000053379_784063305.xml,53379,1,Alojamiento / Rooms ( 1),,Hoteles Director Ltda.,explicit_lodging,promote,Item explicitly identifies hotel lodging or a lodging ancillary charge.,MA-07803
WA-111,ADM-1.5,Colacion y Alojamiento,7805,COMPRAS,2025-10,DTE_033_000000053379_784063305.xml,53379,3,Frigobar / Minibar ( 1),,Hoteles Director Ltda.,explicit_lodging,promote,Item explicitly identifies hotel lodging or a lodging ancillary charge.,MA-07805
WA-112,ADM-2.2,Seguros Trabajadores,8037,COMPRAS,2025-10,DTE_033_000000667460_990120005.xml,667460,2,Periodo de Cobertura octubre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,already_gold,October coverage-period line is already audited gold.,
WA-113,EXP-15.2,Servicios Veterinarios,8181,COMPRAS,2025-10,DTE_033_000005095534_823926006.xml,5095534,2,BUZO VETERINARIO 1 PIEZA TALLA 56,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,item_keyword_false_positive,reject,"Veterinary coveralls are work clothing, not veterinary consultancy.",
WA-114,EXP-5.5,Sustituto Lacteo,8286,COMPRAS,2025-10,DTE_033_000028957298_810941006.xml,28957298,1,SUSTITUTO LACTEO COLUN (SPT) 25 KG,SUSTITUTO LACTEO COLUN (SPT) 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,client_confirmed_milk_replacer,already_gold,Exact raw input is already represented in gold.,
WA-115,EXP-4.1,Parva Silo,8369,COMPRAS,2025-10,DTE_033_000029161426_810941006.xml,29161426,1,SILOSOLVE MC X 100 G,SILOSOLVE MC X 100 G,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,explicit_silage_additive,promote,"SILOSOLVE is explicitly a silage additive, consistent with the client category definition.",MA-08369
WA-116,ADM-1.5,Colacion y Alojamiento,8620,COMPRAS,2025-11,DTE_033_000000001527_7254630K.xml,1527,1,Cena,,MARIA JOSE GARCIA DE CECA LATUZ,explicit_meal,promote,Item explicitly identifies an administration meal.,MA-08620
WA-117,ADM-1.5,Colacion y Alojamiento,8622,COMPRAS,2025-11,DTE_033_000000001647_777728083.xml,1647,1,almuerzo de empresa,,CUADRIL SPA,explicit_meal,promote,Item explicitly identifies an administration meal.,MA-08622
WA-118,ADM-1.3,Arriendo Oficina,8641,COMPRAS,2025-11,DTE_033_000000005101_764503287.xml,5101,1,Arriendo Noviembre 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-08641
WA-119,EXP-5.1,Concentrado Vacas,8648,COMPRAS,2025-11,DTE_033_000000007513_764305752.xml,7513,1,Mipro Pastoreo Skyline,//FUNDO BRAMADEROS,SANO - NUTRICION ANIMAL MODERNA SPA,contradictory_prior_audits,needs_client,Skyline row conflicts between mineral salts and other-animal feed in prior ledgers; do not promote.,
WA-120,ADM-2.2,Seguros Trabajadores,8951,COMPRAS,2025-11,DTE_033_000000672290_990120005.xml,672290,2,Periodo de Cobertura noviembre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-08951
WA-121,ADM-1.4,Movilizacion,9198,COMPRAS,2025-11,DTE_033_000029112672_995200007.xml,29112672,3,DETALLE,GASOLINA NU 1203| 29.764|L,COPEC S.A.,explicit_gasoline_description,promote,Description explicitly identifies gasoline and litres; client examples place administration gasoline in mobilization.,MA-09198
WA-122,EXP-5.2,Concentrado Crianza,9311,COMPRAS,2025-11,DTE_033_000029583370_810941006.xml,29583370,1,T. SURALIM INICIAL RF X 25 KG,T. SURALIM INICIAL RF X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,explicit_calf_concentrate,promote,SURALIM inicial/crecimiento explicitly identifies calf starter/grower concentrate.,MA-09311
WA-123,EXP-15.4,Arriendo Maquinaria y Vehiculos,9451,COMPRAS,2025-12,DTE_033_000000000002_774695192.xml,2,1,Arriendo excavadora,,GATICA MARTÍNEZ SPA,explicit_machine_lease,promote,Item explicitly says excavator rental.,MA-09451
WA-124,EXP-4.1,Parva Silo,9572,COMPRAS,2025-12,DTE_033_000000001794_767431066.xml,1794,1,SILO PARVA,FUNDO YUTRECO,AGRO SERVICIOS NAVARRETE SPA,explicit_pile_silage,promote,Item explicitly says SILO PARVA and identifies the farm.,MA-09572
WA-125,EXP-4.1,Parva Silo,9573,COMPRAS,2025-12,DTE_033_000000001795_767431066.xml,1795,1,SILO PARVA,EL MAITEN,AGRO SERVICIOS NAVARRETE SPA,explicit_pile_silage,promote,Item explicitly says SILO PARVA and identifies the farm.,MA-09573
WA-126,ADM-1.3,Arriendo Oficina,9606,COMPRAS,2025-12,DTE_033_000000005262_764503287.xml,5262,1,Arriendo Diciembre 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-09606
WA-127,EXP-10.2,Diping,9635,COMPRAS,2025-12,DTE_033_000000026131_761757865.xml,26131,1,FULLDIP 5000 PROMOCION 230 KG,,HGS DAIRY SOLUTIONS SPA,explicit_dip_product,promote,COW GUARD/FULLDIP explicitly identify teat-dip products; descriptions/providers create new valid inputs.,MA-09635
WA-128,ADM-2.2,Seguros Trabajadores,9944,COMPRAS,2025-12,DTE_033_000000677331_990120005.xml,677331,2,Periodo de Cobertura diciembre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-09944
WA-129,EXP-4.1,Parva Silo,10118,COMPRAS,2025-12,DTE_033_000001576841_967895202.xml,1576841,1,ADITIVO SILOSOLVE MC -ANASAC_100grs_____,ANASAC_100grs_____,FEROSOR AGRICOLA S.A.,explicit_silage_additive,promote,"SILOSOLVE is explicitly a silage additive, consistent with the client category definition.",MA-10118
WA-130,EXP-15.2,Servicios Veterinarios,10126,COMPRAS,2025-12,DTE_033_000001580953_967895202.xml,1580953,1,BUZO VETERINARIO IMPERMEABLE VERDE -MIGUEL DIAZ_XXL___,MIGUEL DIAZ_XXL___,FEROSOR AGRICOLA S.A.,item_keyword_false_positive,reject,"Veterinary coveralls are work clothing, not veterinary consultancy.",
WA-131,ADM-1.3,Arriendo Oficina,10594,COMPRAS,2026-01,DTE_033_000000005429_764503287.xml,5429,1,Arriendo Enero 26,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-10594
WA-132,ADM-2.2,Seguros Trabajadores,10894,COMPRAS,2026-01,DTE_033_000000682881_990120005.xml,682881,2,Periodo de Cobertura enero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-10894
WA-133,ADM-1.4,Movilizacion,11200,COMPRAS,2026-01,DTE_033_000030498450_995200007.xml,30498450,3,DETALLE,GASOLINA NU 1203| 20.000|L,COPEC S.A.,explicit_gasoline_description,promote,Description explicitly identifies gasoline and litres; client examples place administration gasoline in mobilization.,MA-11200
WA-134,ADM-1.3,Arriendo Oficina,11312,COMPRAS,2026-02,DTE_033_000000005531_764503287.xml,5531,1,Arriendo febrero 26,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-11312
WA-135,ADM-2.2,Seguros Trabajadores,11511,COMPRAS,2026-02,DTE_033_000000687382_990120005.xml,687382,2,Periodo de Cobertura febrero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-11511
WA-136,EXP-6.1,Fosforo,11676,COMPRAS,2026-02,DTE_033_000006224746_812908006.xml,6224746,1,TREFOS PLUS MAXI PF YARA (SF3)-FERTILIZANTES(B)-ME,,COMPAÑÍA AGROPECUARIA COPEVAL S.A.,explicit_phosphorus_fertilizer,promote,"Trefos, monoammonium phosphate and triple superphosphate are explicitly named phosphorus fertilizers.",MA-11676
WA-137,ADM-1.4,Movilizacion,11840,COMPRAS,2026-02,DTE_033_000030773817_995200007.xml,30773817,3,DETALLE,GASOLINA NU 1203| 20.100|L,COPEC S.A.,explicit_gasoline_description,promote,Description explicitly identifies gasoline and litres; client examples place administration gasoline in mobilization.,MA-11840
WA-138,EXP-15.2,Servicios Veterinarios,11908,COMPRAS,2026-03,DTE_033_000000000042_781131369.xml,42,1,PODOLOGÍA CORRECTIVA,26 febrero: 25 vacas cojas,MOLINA MANNS SPA,explicit_bovine_podology_service,already_gold,These bovine podology services already exist as audited gold examples.,
WA-139,EXP-15.2,Servicios Veterinarios,11909,COMPRAS,2026-03,DTE_033_000000000042_781131369.xml,42,2,VIATICO MOVILIZACION,,MOLINA MANNS SPA,same_invoice_ancillary_charge,needs_client,Travel allowance is on a veterinary invoice but could be veterinary service or administration mobilization.,
